post_id,title,category,score,num_comments,author,collected_at
47704881,Vercel Claude Code plugin wants to read your prompt,technology,89,15,akshay2603,2026-04-09 16:19:03.372475
47702541,A WebGPU Implementation of Augmented Vertex Block Descent,technology,62,3,juretriglav,2026-04-09 16:19:03.679921
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,14,11,meryll_dindin,2026-04-09 16:19:03.753315
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,81,67,SirHound,2026-04-09 16:19:04.266468
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,100,105,kisamoto,2026-04-09 16:19:04.344426
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,22,15,behat,2026-04-09 16:19:04.726570
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,118,41,willmeyers,2026-04-09 16:19:04.875245
47701233,Claude mixes up who said what,technology,298,269,sixhobbits,2026-04-09 16:19:04.961484
47663743,"Show HN: Moon simulator game, ray-casting",sports,71,15,JKCalhoun,2026-04-09 16:19:05.181992
47660434,C# in Unity 2026: Writing more modern code,technology,60,55,hacker_13,2026-04-09 16:19:05.260497
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,376,42,WerWolv,2026-04-09 16:19:05.410101
47704443,Study found that young adults have grown less hopeful and more angry about AI,technology,27,11,elsewhen,2026-04-09 16:19:05.494037
47687273,Git commands I run before reading any code,technology,2154,459,grepsedawk,2026-04-09 16:19:05.954056
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,376,356,chabons,2026-04-09 16:19:06.035164
47705383,CDC delays publishing report showing Covid vaccine benefits,entertainment,6,1,ceejayoz,2026-04-09 16:19:07.681468
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,118,53,DamnInteresting,2026-04-09 16:19:07.778070
47696035,John Deere to pay $99M in right-to-repair settlement,technology,353,116,CharlesW,2026-04-09 16:19:08.256263
47700460,Ask HN: What are you building that's not AI related?,technology,70,102,meander_water,2026-04-09 16:19:08.326154
